MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
671226100,2022-12-08T00:05:57,25.79842,-80.24844,0,168.4,511,RELIANCE II,IMO9221322,5VHS7,79,0,52,12,3.5,77,A
671087100,2022-12-08T00:00:00,18.46278,-66.10292,0,281.2,511,WATER SPIRIT 2,IMO9212424,5VGA7,70,0,70,18,4,70,A
671087100,2022-12-08T00:01:10,18.46277,-66.10295,0,184.8,511,WATER SPIRIT 2,IMO9212424,5VGA7,70,0,70,18,4,70,A
671087100,2022-12-08T00:02:20,18.46279,-66.10294,0,235.1,511,WATER SPIRIT 2,IMO9212424,5VGA7,70,0,70,18,4,70,A
671087100,2022-12-08T00:03:31,18.4628,-66.10298,0,177.9,511,WATER SPIRIT 2,IMO9212424,5VGA7,70,0,70,18,4,70,A
671087100,2022-12-08T00:06:59,18.4628,-66.10298,0,111.7,511,WATER SPIRIT 2,IMO9212424,5VGA7,70,0,70,18,4,70,A
671082100,2022-12-08T00:00:09,25.7979,-80.24784,0,360,511,BIMINI CAT,,5VGA2,70,0,37,35,2,70,A
671082100,2022-12-08T00:01:19,25.7979,-80.24785,0,360,511,BIMINI CAT,,5VGA2,70,0,37,35,2,70,A
671082100,2022-12-08T00:02:28,25.79791,-80.24785,0,360,511,BIMINI CAT,,5VGA2,70,0,37,35,2,70,A
671082100,2022-12-08T00:03:39,25.7979,-80.24784,0,360,511,BIMINI CAT,,5VGA2,70,0,37,35,2,70,A
671082100,2022-12-08T00:04:49,25.79788,-80.24784,0,360,511,BIMINI CAT,,5VGA2,70,0,37,35,2,70,A
665832666,2022-12-08T00:02:42,47.65613,-122.38015,0,6.7,83,MAX,IMO0000000,,37,,18,4,,,B
665832666,2022-12-08T00:05:43,47.65611,-122.38016,0,6.7,84,MAX,IMO0000000,,37,,18,4,,,B
642122014,2022-12-08T00:01:37,30.03575,-94.03656,0,207.2,65,CARTAGENA,IMO9389318,5AWY,80,5,183,32,12.2,83,A
642122014,2022-12-08T00:04:42,30.03577,-94.03656,0,207.2,65,CARTAGENA,IMO9389318,5AWY,80,5,183,32,12.2,83,A
636093143,2022-12-08T00:00:02,26.07289,-80.12061,0,257,89,DUBAI EXPRESS,IMO9440825,5LIT9,71,5,262,32,11.5,71,A
636093143,2022-12-08T00:02:55,26.07287,-80.12062,0,257,89,DUBAI EXPRESS,IMO9440825,5LIT9,71,5,262,32,11.5,71,A
636093143,2022-12-08T00:06:01,26.07288,-80.12055,0,257,89,DUBAI EXPRESS,IMO9440825,5LIT9,71,5,262,32,11.5,71,A
636093133,2022-12-08T00:00:55,45.63234,-122.7066,0,321.3,121,NORDIC OSLO,IMO9626601,5LBB2,70,1,180,30,7.6,70,A
636093133,2022-12-08T00:03:50,45.63236,-122.7066,0,321.3,121,NORDIC OSLO,IMO9626601,5LBB2,70,1,180,30,7.6,70,A
636093024,2022-12-08T00:01:27,39.80667,-75.4025,0.2,227,65,CHEMTRANS SATURN,IMO9309007,5LBM4,89,1,228,32,11.3,89,A
636093024,2022-12-08T00:04:28,39.80667,-75.40267,0.2,239,64,CHEMTRANS SATURN,IMO9309007,5LBM4,89,1,228,32,11.3,89,A
636093013,2022-12-08T00:05:21,36.96281,-76.42407,0,290.5,40,BELMONTE,IMO9687124,5LAZ9,70,5,225,32,7.9,70,A
636092985,2022-12-08T00:00:00,28.28326,-80.48553,10.3,318.3,323,SUMATRA,IMO9753260,D5YS8,70,0,180,32,7.9,70,A
636092985,2022-12-08T00:01:10,28.28584,-80.48795,10.3,320.3,323,SUMATRA,IMO9753260,D5YS8,70,0,180,32,7.9,70,A
636092985,2022-12-08T00:02:19,28.28839,-80.49037,10.2,319.4,323,SUMATRA,IMO9753260,D5YS8,70,0,180,32,7.9,70,A
636092985,2022-12-08T00:03:30,28.29105,-80.49288,10.3,321.4,322,SUMATRA,IMO9753260,D5YS8,70,0,180,32,7.9,70,A
636092985,2022-12-08T00:04:41,28.29361,-80.49526,10.2,322.1,322,SUMATRA,IMO9753260,D5YS8,70,0,180,32,7.9,70,A
